ResNet       line 1 cols 1-6 is T_Identifier 
)            line 70 cols 48-48 is ')' 
,            line 70 cols 49-49 is ',' 
stride       line 70 cols 51-56 is T_stride 
=            line 70 cols 57-57 is '=' 
(            line 70 cols 58-58 is '(' 
2            line 70 cols 59-59 is T_IntConstant (value = 2)
,            line 70 cols 60-60 is ',' 
2            line 70 cols 62-62 is T_IntConstant (value = 2)
)            line 70 cols 63-63 is ')' 
,            line 70 cols 64-64 is ',' 
bias         line 70 cols 66-69 is T_bias 
=            line 70 cols 70-70 is '=' 
False        line 70 cols 71-75 is T_BoolConstant (value = false)
)            line 70 cols 76-76 is ')' 
(            line 71 cols 9-9 is '(' 
1            line 71 cols 10-10 is T_IntConstant (value = 1)
)            line 71 cols 11-11 is ')' 
:            line 71 cols 12-12 is ':' 
BatchNorm2d  line 71 cols 14-24 is T_BatchNorm2d 
(            line 71 cols 25-25 is '(' 
512          line 71 cols 26-28 is T_IntConstant (value = 512)
,            line 71 cols 29-29 is ',' 
eps          line 71 cols 31-33 is T_eps 
=            line 71 cols 34-34 is '=' 
1e-05        line 71 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 71 cols 40-40 is ',' 
momentum     line 71 cols 42-49 is T_momentum 
=            line 71 cols 50-50 is '=' 
0.1          line 71 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 71 cols 54-54 is ',' 
affine       line 71 cols 56-61 is T_Identifier 
=            line 71 cols 62-62 is '=' 
True         line 71 cols 63-66 is T_BoolConstant (value = true)
,            line 71 cols 67-67 is ',' 
track_running_stats line 71 cols 69-87 is T_track_running_stats 
=            line 71 cols 88-88 is '=' 
True         line 71 cols 89-92 is T_BoolConstant (value = true)
)            line 71 cols 93-93 is ')' 
)            line 72 cols 7-7 is ')' 
)            line 73 cols 5-5 is ')' 
(            line 74 cols 5-5 is '(' 
1            line 74 cols 6-6 is T_IntConstant (value = 1)
)            line 74 cols 7-7 is ')' 
:            line 74 cols 8-8 is ':' 
BasicBlock   line 74 cols 10-19 is T_Identifier 
(            line 74 cols 20-20 is '(' 
(            line 75 cols 7-7 is '(' 
conv1        line 75 cols 8-12 is T_Identifier 
)            line 75 cols 13-13 is ')' 
:            line 75 cols 14-14 is ':' 
Conv2d       line 75 cols 16-21 is T_Conv2d 
(            line 75 cols 22-22 is '(' 
512          line 75 cols 23-25 is T_IntConstant (value = 512)
,            line 75 cols 26-26 is ',' 
512          line 75 cols 28-30 is T_IntConstant (value = 512)
,            line 75 cols 31-31 is ',' 
kernel_size  line 75 cols 33-43 is T_kernel_size 
=            line 75 cols 44-44 is '=' 
(            line 75 cols 45-45 is '(' 
3            line 75 cols 46-46 is T_IntConstant (value = 3)
,            line 75 cols 47-47 is ',' 
3            line 75 cols 49-49 is T_IntConstant (value = 3)
)            line 75 cols 50-50 is ')' 
,            line 75 cols 51-51 is ',' 
stride       line 75 cols 53-58 is T_stride 
=            line 75 cols 59-59 is '=' 
(            line 75 cols 60-60 is '(' 
1            line 75 cols 61-61 is T_IntConstant (value = 1)
,            line 75 cols 62-62 is ',' 
1            line 75 cols 64-64 is T_IntConstant (value = 1)
)            line 75 cols 65-65 is ')' 
,            line 75 cols 66-66 is ',' 
padding      line 75 cols 68-74 is T_padding 
=            line 75 cols 75-75 is '=' 
(            line 75 cols 76-76 is '(' 
1            line 75 cols 77-77 is T_IntConstant (value = 1)
,            line 75 cols 78-78 is ',' 
1            line 75 cols 80-80 is T_IntConstant (value = 1)
)            line 75 cols 81-81 is ')' 
,            line 75 cols 82-82 is ',' 
bias         line 75 cols 84-87 is T_bias 
=            line 75 cols 88-88 is '=' 
False        line 75 cols 89-93 is T_BoolConstant (value = false)
)            line 75 cols 94-94 is ')' 
(            line 76 cols 7-7 is '(' 
bn1          line 76 cols 8-10 is T_Identifier 
)            line 76 cols 11-11 is ')' 
:            line 76 cols 12-12 is ':' 
BatchNorm2d  line 76 cols 14-24 is T_BatchNorm2d 
(            line 76 cols 25-25 is '(' 
512          line 76 cols 26-28 is T_IntConstant (value = 512)
,            line 76 cols 29-29 is ',' 
eps          line 76 cols 31-33 is T_eps 
=            line 76 cols 34-34 is '=' 
1e-05        line 76 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 76 cols 40-40 is ',' 
momentum     line 76 cols 42-49 is T_momentum 
=            line 76 cols 50-50 is '=' 
0.1          line 76 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 76 cols 54-54 is ',' 
affine       line 76 cols 56-61 is T_Identifier 
=            line 76 cols 62-62 is '=' 
True         line 76 cols 63-66 is T_BoolConstant (value = true)
,            line 76 cols 67-67 is ',' 
track_running_stats line 76 cols 69-87 is T_track_running_stats 
=            line 76 cols 88-88 is '=' 
True         line 76 cols 89-92 is T_BoolConstant (value = true)
)            line 76 cols 93-93 is ')' 
(            line 77 cols 7-7 is '(' 
relu         line 77 cols 8-11 is T_Identifier 
)            line 77 cols 12-12 is ')' 
:            line 77 cols 13-13 is ':' 
ReLU         line 77 cols 15-18 is T_ReLU 
(            line 77 cols 19-19 is '(' 
inplace      line 77 cols 20-26 is T_inplace 
=            line 77 cols 27-27 is '=' 
True         line 77 cols 28-31 is T_BoolConstant (value = true)
)            line 77 cols 32-32 is ')' 
(            line 78 cols 7-7 is '(' 
conv2        line 78 cols 8-12 is T_Identifier 
)            line 78 cols 13-13 is ')' 
:            line 78 cols 14-14 is ':' 
Conv2d       line 78 cols 16-21 is T_Conv2d 
(            line 78 cols 22-22 is '(' 
512          line 78 cols 23-25 is T_IntConstant (value = 512)
,            line 78 cols 26-26 is ',' 
512          line 78 cols 28-30 is T_IntConstant (value = 512)
,            line 78 cols 31-31 is ',' 
kernel_size  line 78 cols 33-43 is T_kernel_size 
=            line 78 cols 44-44 is '=' 
(            line 78 cols 45-45 is '(' 
3            line 78 cols 46-46 is T_IntConstant (value = 3)
,            line 78 cols 47-47 is ',' 
3            line 78 cols 49-49 is T_IntConstant (value = 3)
)            line 78 cols 50-50 is ')' 
,            line 78 cols 51-51 is ',' 
stride       line 78 cols 53-58 is T_stride 
=            line 78 cols 59-59 is '=' 
(            line 78 cols 60-60 is '(' 
1            line 78 cols 61-61 is T_IntConstant (value = 1)
,            line 78 cols 62-62 is ',' 
1            line 78 cols 64-64 is T_IntConstant (value = 1)
)            line 78 cols 65-65 is ')' 
,            line 78 cols 66-66 is ',' 
padding      line 78 cols 68-74 is T_padding 
=            line 78 cols 75-75 is '=' 
(            line 78 cols 76-76 is '(' 
1            line 78 cols 77-77 is T_IntConstant (value = 1)
,            line 78 cols 78-78 is ',' 
1            line 78 cols 80-80 is T_IntConstant (value = 1)
)            line 78 cols 81-81 is ')' 
,            line 78 cols 82-82 is ',' 
bias         line 78 cols 84-87 is T_bias 
=            line 78 cols 88-88 is '=' 
False        line 78 cols 89-93 is T_BoolConstant (value = false)
)            line 78 cols 94-94 is ')' 
(            line 79 cols 7-7 is '(' 
bn2          line 79 cols 8-10 is T_Identifier 
)            line 79 cols 11-11 is ')' 
:            line 79 cols 12-12 is ':' 
BatchNorm2d  line 79 cols 14-24 is T_BatchNorm2d 
(            line 79 cols 25-25 is '(' 
512          line 79 cols 26-28 is T_IntConstant (value = 512)
,            line 79 cols 29-29 is ',' 
eps          line 79 cols 31-33 is T_eps 
=            line 79 cols 34-34 is '=' 
1e-05        line 79 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 79 cols 40-40 is ',' 
momentum     line 79 cols 42-49 is T_momentum 
=            line 79 cols 50-50 is '=' 
0.1          line 79 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 79 cols 54-54 is ',' 
affine       line 79 cols 56-61 is T_Identifier 
=            line 79 cols 62-62 is '=' 
True         line 79 cols 63-66 is T_BoolConstant (value = true)
,            line 79 cols 67-67 is ',' 
track_running_stats line 79 cols 69-87 is T_track_running_stats 
=            line 79 cols 88-88 is '=' 
True         line 79 cols 89-92 is T_BoolConstant (value = true)
)            line 79 cols 93-93 is ')' 
)            line 80 cols 5-5 is ')' 
)            line 81 cols 3-3 is ')' 
(            line 82 cols 3-3 is '(' 
avgpool      line 82 cols 4-10 is T_Identifier 
)            line 82 cols 11-11 is ')' 
:            line 82 cols 12-12 is ':' 
AdaptiveAvgPool2d line 82 cols 14-30 is T_AdaptiveAvgPool2d 
(            line 82 cols 31-31 is '(' 
output_size  line 82 cols 32-42 is T_output_size 
=            line 82 cols 43-43 is '=' 
(            line 82 cols 44-44 is '(' 
1            line 82 cols 45-45 is T_IntConstant (value = 1)
,            line 82 cols 46-46 is ',' 
1            line 82 cols 48-48 is T_IntConstant (value = 1)
)            line 82 cols 49-49 is ')' 
)            line 82 cols 50-50 is ')' 
(            line 83 cols 3-3 is '(' 
fc           line 83 cols 4-5 is T_Identifier 
)            line 83 cols 6-6 is ')' 
:            line 83 cols 7-7 is ':' 
Linear       line 83 cols 9-14 is T_Linear 
(            line 83 cols 15-15 is '(' 
in_features  line 83 cols 16-26 is T_in_features 
=            line 83 cols 27-27 is '=' 
512          line 83 cols 28-30 is T_IntConstant (value = 512)
,            line 83 cols 31-31 is ',' 
out_features line 83 cols 33-44 is T_out_features 
=            line 83 cols 45-45 is '=' 
1000         line 83 cols 46-49 is T_IntConstant (value = 1000)
,            line 83 cols 50-50 is ',' 
bias         line 83 cols 52-55 is T_bias 
=            line 83 cols 56-56 is '=' 
True         line 83 cols 57-60 is T_BoolConstant (value = true)
)            line 83 cols 61-61 is ')' 
)            line 84 cols 1-1 is ')' 
