ResNet       line 1 cols 1-6 is T_Identifier 
False        line 18 cols 87-91 is T_BoolConstant (value = false)
)            line 18 cols 92-92 is ')' 
(            line 19 cols 7-7 is '(' 
bn2          line 19 cols 8-10 is T_Identifier 
)            line 19 cols 11-11 is ')' 
:            line 19 cols 12-12 is ':' 
BatchNorm2d  line 19 cols 14-24 is T_BatchNorm2d 
(            line 19 cols 25-25 is '(' 
64           line 19 cols 26-27 is T_IntConstant (value = 64)
,            line 19 cols 28-28 is ',' 
eps          line 19 cols 30-32 is T_eps 
=            line 19 cols 33-33 is '=' 
1e-05        line 19 cols 34-38 is T_DoubleConstant (value = 1e-05)
,            line 19 cols 39-39 is ',' 
momentum     line 19 cols 41-48 is T_momentum 
=            line 19 cols 49-49 is '=' 
0.1          line 19 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 19 cols 53-53 is ',' 
affine       line 19 cols 55-60 is T_Identifier 
=            line 19 cols 61-61 is '=' 
True         line 19 cols 62-65 is T_BoolConstant (value = true)
,            line 19 cols 66-66 is ',' 
track_running_stats line 19 cols 68-86 is T_track_running_stats 
=            line 19 cols 87-87 is '=' 
True         line 19 cols 88-91 is T_BoolConstant (value = true)
)            line 19 cols 92-92 is ')' 
)            line 20 cols 5-5 is ')' 
)            line 21 cols 3-3 is ')' 
(            line 22 cols 3-3 is '(' 
layer2       line 22 cols 4-9 is T_Identifier 
)            line 22 cols 10-10 is ')' 
:            line 22 cols 11-11 is ':' 
Sequential   line 22 cols 13-22 is T_Sequential 
(            line 22 cols 23-23 is '(' 
(            line 23 cols 5-5 is '(' 
0            line 23 cols 6-6 is T_IntConstant (value = 0)
)            line 23 cols 7-7 is ')' 
:            line 23 cols 8-8 is ':' 
BasicBlock   line 23 cols 10-19 is T_Identifier 
(            line 23 cols 20-20 is '(' 
(            line 24 cols 7-7 is '(' 
conv1        line 24 cols 8-12 is T_Identifier 
)            line 24 cols 13-13 is ')' 
:            line 24 cols 14-14 is ':' 
Conv2d       line 24 cols 16-21 is T_Conv2d 
(            line 24 cols 22-22 is '(' 
64           line 24 cols 23-24 is T_IntConstant (value = 64)
,            line 24 cols 25-25 is ',' 
128          line 24 cols 27-29 is T_IntConstant (value = 128)
,            line 24 cols 30-30 is ',' 
kernel_size  line 24 cols 32-42 is T_kernel_size 
=            line 24 cols 43-43 is '=' 
(            line 24 cols 44-44 is '(' 
3            line 24 cols 45-45 is T_IntConstant (value = 3)
,            line 24 cols 46-46 is ',' 
3            line 24 cols 48-48 is T_IntConstant (value = 3)
)            line 24 cols 49-49 is ')' 
,            line 24 cols 50-50 is ',' 
stride       line 24 cols 52-57 is T_stride 
=            line 24 cols 58-58 is '=' 
(            line 24 cols 59-59 is '(' 
2            line 24 cols 60-60 is T_IntConstant (value = 2)
,            line 24 cols 61-61 is ',' 
2            line 24 cols 63-63 is T_IntConstant (value = 2)
)            line 24 cols 64-64 is ')' 
,            line 24 cols 65-65 is ',' 
padding      line 24 cols 67-73 is T_padding 
=            line 24 cols 74-74 is '=' 
(            line 24 cols 75-75 is '(' 
1            line 24 cols 76-76 is T_IntConstant (value = 1)
,            line 24 cols 77-77 is ',' 
1            line 24 cols 79-79 is T_IntConstant (value = 1)
)            line 24 cols 80-80 is ')' 
,            line 24 cols 81-81 is ',' 
bias         line 24 cols 83-86 is T_bias 
=            line 24 cols 87-87 is '=' 
False        line 24 cols 88-92 is T_BoolConstant (value = false)
)            line 24 cols 93-93 is ')' 
(            line 25 cols 7-7 is '(' 
bn1          line 25 cols 8-10 is T_Identifier 
)            line 25 cols 11-11 is ')' 
:            line 25 cols 12-12 is ':' 
BatchNorm2d  line 25 cols 14-24 is T_BatchNorm2d 
(            line 25 cols 25-25 is '(' 
128          line 25 cols 26-28 is T_IntConstant (value = 128)
,            line 25 cols 29-29 is ',' 
eps          line 25 cols 31-33 is T_eps 
=            line 25 cols 34-34 is '=' 
1e-05        line 25 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 25 cols 40-40 is ',' 
momentum     line 25 cols 42-49 is T_momentum 
=            line 25 cols 50-50 is '=' 
0.1          line 25 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 25 cols 54-54 is ',' 
affine       line 25 cols 56-61 is T_Identifier 
=            line 25 cols 62-62 is '=' 
True         line 25 cols 63-66 is T_BoolConstant (value = true)
,            line 25 cols 67-67 is ',' 
track_running_stats line 25 cols 69-87 is T_track_running_stats 
=            line 25 cols 88-88 is '=' 
True         line 25 cols 89-92 is T_BoolConstant (value = true)
)            line 25 cols 93-93 is ')' 
(            line 26 cols 7-7 is '(' 
relu         line 26 cols 8-11 is T_Identifier 
)            line 26 cols 12-12 is ')' 
:            line 26 cols 13-13 is ':' 
ReLU         line 26 cols 15-18 is T_ReLU 
(            line 26 cols 19-19 is '(' 
inplace      line 26 cols 20-26 is T_inplace 
=            line 26 cols 27-27 is '=' 
True         line 26 cols 28-31 is T_BoolConstant (value = true)
)            line 26 cols 32-32 is ')' 
(            line 27 cols 7-7 is '(' 
conv2        line 27 cols 8-12 is T_Identifier 
)            line 27 cols 13-13 is ')' 
:            line 27 cols 14-14 is ':' 
Conv2d       line 27 cols 16-21 is T_Conv2d 
(            line 27 cols 22-22 is '(' 
128          line 27 cols 23-25 is T_IntConstant (value = 128)
,            line 27 cols 26-26 is ',' 
128          line 27 cols 28-30 is T_IntConstant (value = 128)
,            line 27 cols 31-31 is ',' 
kernel_size  line 27 cols 33-43 is T_kernel_size 
=            line 27 cols 44-44 is '=' 
(            line 27 cols 45-45 is '(' 
3            line 27 cols 46-46 is T_IntConstant (value = 3)
,            line 27 cols 47-47 is ',' 
3            line 27 cols 49-49 is T_IntConstant (value = 3)
)            line 27 cols 50-50 is ')' 
,            line 27 cols 51-51 is ',' 
stride       line 27 cols 53-58 is T_stride 
=            line 27 cols 59-59 is '=' 
(            line 27 cols 60-60 is '(' 
1            line 27 cols 61-61 is T_IntConstant (value = 1)
,            line 27 cols 62-62 is ',' 
1            line 27 cols 64-64 is T_IntConstant (value = 1)
)            line 27 cols 65-65 is ')' 
,            line 27 cols 66-66 is ',' 
padding      line 27 cols 68-74 is T_padding 
=            line 27 cols 75-75 is '=' 
(            line 27 cols 76-76 is '(' 
1            line 27 cols 77-77 is T_IntConstant (value = 1)
,            line 27 cols 78-78 is ',' 
1            line 27 cols 80-80 is T_IntConstant (value = 1)
)            line 27 cols 81-81 is ')' 
,            line 27 cols 82-82 is ',' 
bias         line 27 cols 84-87 is T_bias 
=            line 27 cols 88-88 is '=' 
False        line 27 cols 89-93 is T_BoolConstant (value = false)
)            line 27 cols 94-94 is ')' 
(            line 28 cols 7-7 is '(' 
bn2          line 28 cols 8-10 is T_Identifier 
)            line 28 cols 11-11 is ')' 
:            line 28 cols 12-12 is ':' 
BatchNorm2d  line 28 cols 14-24 is T_BatchNorm2d 
(            line 28 cols 25-25 is '(' 
128          line 28 cols 26-28 is T_IntConstant (value = 128)
,            line 28 cols 29-29 is ',' 
eps          line 28 cols 31-33 is T_eps 
=            line 28 cols 34-34 is '=' 
1e-05        line 28 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 28 cols 40-40 is ',' 
momentum     line 28 cols 42-49 is T_momentum 
=            line 28 cols 50-50 is '=' 
0.1          line 28 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 28 cols 54-54 is ',' 
affine       line 28 cols 56-61 is T_Identifier 
=            line 28 cols 62-62 is '=' 
True         line 28 cols 63-66 is T_BoolConstant (value = true)
,            line 28 cols 67-67 is ',' 
track_running_stats line 28 cols 69-87 is T_track_running_stats 
=            line 28 cols 88-88 is '=' 
True         line 28 cols 89-92 is T_BoolConstant (value = true)
)            line 28 cols 93-93 is ')' 
(            line 29 cols 7-7 is '(' 
downsample   line 29 cols 8-17 is T_Identifier 
)            line 29 cols 18-18 is ')' 
:            line 29 cols 19-19 is ':' 
Sequential   line 29 cols 21-30 is T_Sequential 
(            line 29 cols 31-31 is '(' 
(            line 30 cols 9-9 is '(' 
0            line 30 cols 10-10 is T_IntConstant (value = 0)
)            line 30 cols 11-11 is ')' 
:            line 30 cols 12-12 is ':' 
Conv2d       line 30 cols 14-19 is T_Conv2d 
(            line 30 cols 20-20 is '(' 
64           line 30 cols 21-22 is T_IntConstant (value = 64)
,            line 30 cols 23-23 is ',' 
128          line 30 cols 25-27 is T_IntConstant (value = 128)
,            line 30 cols 28-28 is ',' 
kernel_size  line 30 cols 30-40 is T_kernel_size 
=            line 30 cols 41-41 is '=' 
(            line 30 cols 42-42 is '(' 
1            line 30 cols 43-43 is T_IntConstant (value = 1)
,            line 30 cols 44-44 is ',' 
1            line 30 cols 46-46 is T_IntConstant (value = 1)
)            line 30 cols 47-47 is ')' 
,            line 30 cols 48-48 is ',' 
stride       line 30 cols 50-55 is T_stride 
=            line 30 cols 56-56 is '=' 
(            line 30 cols 57-57 is '(' 
2            line 30 cols 58-58 is T_IntConstant (value = 2)
,            line 30 cols 59-59 is ',' 
2            line 30 cols 61-61 is T_IntConstant (value = 2)
)            line 30 cols 62-62 is ')' 
,            line 30 cols 63-63 is ',' 
bias         line 30 cols 65-68 is T_bias 
=            line 30 cols 69-69 is '=' 
False        line 30 cols 70-74 is T_BoolConstant (value = false)
)            line 30 cols 75-75 is ')' 
(            line 31 cols 9-9 is '(' 
1            line 31 cols 10-10 is T_IntConstant (value = 1)
)            line 31 cols 11-11 is ')' 
:            line 31 cols 12-12 is ':' 
BatchNorm2d  line 31 cols 14-24 is T_BatchNorm2d 
(            line 31 cols 25-25 is '(' 
128          line 31 cols 26-28 is T_IntConstant (value = 128)
,            line 31 cols 29-29 is ',' 
eps          line 31 cols 31-33 is T_eps 
=            line 31 cols 34-34 is '=' 
1e-05        line 31 cols 35-39 is T_DoubleConstant (value = 1e-05)
,            line 31 cols 40-40 is ',' 
momentum     line 31 cols 42-49 is T_momentum 
=            line 31 cols 50-50 is '=' 
0.1          line 31 cols 51-53 is T_DoubleConstant (value = 0.1)
,            line 31 cols 54-54 is ',' 
affine       line 31 cols 56-61 is T_Identifier 
=            line 31 cols 62-62 is '=' 
True         line 31 cols 63-66 is T_BoolConstant (value = true)
,            line 31 cols 67-67 is ',' 
track_running_stats line 31 cols 69-87 is T_track_running_stats 
=            line 31 cols 88-88 is '=' 
True         line 31 cols 89-92 is T_BoolConstant (value = true)
)            line 31 cols 93-93 is ')' 
)            line 32 cols 7-7 is ')' 
)            line 33 cols 5-5 is ')' 
(            line 34 cols 5-5 is '(' 
1            line 34 cols 6-6 is T_IntConstant (value = 1)
)            line 34 cols 7-7 is ')' 
