Inception3   line 1 cols 1-10 is T_Identifier 
,            line 188 cols 50-50 is ',' 
stride       line 188 cols 52-57 is T_stride 
=            line 188 cols 58-58 is '=' 
(            line 188 cols 59-59 is '(' 
1            line 188 cols 60-60 is T_IntConstant (value = 1)
,            line 188 cols 61-61 is ',' 
1            line 188 cols 63-63 is T_IntConstant (value = 1)
)            line 188 cols 64-64 is ')' 
,            line 188 cols 65-65 is ',' 
padding      line 188 cols 67-73 is T_padding 
=            line 188 cols 74-74 is '=' 
(            line 188 cols 75-75 is '(' 
3            line 188 cols 76-76 is T_IntConstant (value = 3)
,            line 188 cols 77-77 is ',' 
0            line 188 cols 79-79 is T_IntConstant (value = 0)
)            line 188 cols 80-80 is ')' 
,            line 188 cols 81-81 is ',' 
bias         line 188 cols 83-86 is T_bias 
=            line 188 cols 87-87 is '=' 
False        line 188 cols 88-92 is T_BoolConstant (value = false)
)            line 188 cols 93-93 is ')' 
(            line 189 cols 7-7 is '(' 
bn           line 189 cols 8-9 is T_Identifier 
)            line 189 cols 10-10 is ')' 
:            line 189 cols 11-11 is ':' 
BatchNorm2d  line 189 cols 13-23 is T_BatchNorm2d 
(            line 189 cols 24-24 is '(' 
192          line 189 cols 25-27 is T_IntConstant (value = 192)
,            line 189 cols 28-28 is ',' 
eps          line 189 cols 30-32 is T_eps 
=            line 189 cols 33-33 is '=' 
0.001        line 189 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 189 cols 39-39 is ',' 
momentum     line 189 cols 41-48 is T_momentum 
=            line 189 cols 49-49 is '=' 
0.1          line 189 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 189 cols 53-53 is ',' 
affine       line 189 cols 55-60 is T_Identifier 
=            line 189 cols 61-61 is '=' 
True         line 189 cols 62-65 is T_BoolConstant (value = true)
,            line 189 cols 66-66 is ',' 
track_running_stats line 189 cols 68-86 is T_track_running_stats 
=            line 189 cols 87-87 is '=' 
True         line 189 cols 88-91 is T_BoolConstant (value = true)
)            line 189 cols 92-92 is ')' 
)            line 190 cols 5-5 is ')' 
(            line 191 cols 5-5 is '(' 
branch7x7dbl_1 line 191 cols 6-19 is T_Identifier 
)            line 191 cols 20-20 is ')' 
:            line 191 cols 21-21 is ':' 
BasicConv2d  line 191 cols 23-33 is T_Identifier 
(            line 191 cols 34-34 is '(' 
(            line 192 cols 7-7 is '(' 
conv         line 192 cols 8-11 is T_Identifier 
)            line 192 cols 12-12 is ')' 
:            line 192 cols 13-13 is ':' 
Conv2d       line 192 cols 15-20 is T_Conv2d 
(            line 192 cols 21-21 is '(' 
768          line 192 cols 22-24 is T_IntConstant (value = 768)
,            line 192 cols 25-25 is ',' 
160          line 192 cols 27-29 is T_IntConstant (value = 160)
,            line 192 cols 30-30 is ',' 
kernel_size  line 192 cols 32-42 is T_kernel_size 
=            line 192 cols 43-43 is '=' 
(            line 192 cols 44-44 is '(' 
1            line 192 cols 45-45 is T_IntConstant (value = 1)
,            line 192 cols 46-46 is ',' 
1            line 192 cols 48-48 is T_IntConstant (value = 1)
)            line 192 cols 49-49 is ')' 
,            line 192 cols 50-50 is ',' 
stride       line 192 cols 52-57 is T_stride 
=            line 192 cols 58-58 is '=' 
(            line 192 cols 59-59 is '(' 
1            line 192 cols 60-60 is T_IntConstant (value = 1)
,            line 192 cols 61-61 is ',' 
1            line 192 cols 63-63 is T_IntConstant (value = 1)
)            line 192 cols 64-64 is ')' 
,            line 192 cols 65-65 is ',' 
bias         line 192 cols 67-70 is T_bias 
=            line 192 cols 71-71 is '=' 
False        line 192 cols 72-76 is T_BoolConstant (value = false)
)            line 192 cols 77-77 is ')' 
(            line 193 cols 7-7 is '(' 
bn           line 193 cols 8-9 is T_Identifier 
)            line 193 cols 10-10 is ')' 
:            line 193 cols 11-11 is ':' 
BatchNorm2d  line 193 cols 13-23 is T_BatchNorm2d 
(            line 193 cols 24-24 is '(' 
160          line 193 cols 25-27 is T_IntConstant (value = 160)
,            line 193 cols 28-28 is ',' 
eps          line 193 cols 30-32 is T_eps 
=            line 193 cols 33-33 is '=' 
0.001        line 193 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 193 cols 39-39 is ',' 
momentum     line 193 cols 41-48 is T_momentum 
=            line 193 cols 49-49 is '=' 
0.1          line 193 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 193 cols 53-53 is ',' 
affine       line 193 cols 55-60 is T_Identifier 
=            line 193 cols 61-61 is '=' 
True         line 193 cols 62-65 is T_BoolConstant (value = true)
,            line 193 cols 66-66 is ',' 
track_running_stats line 193 cols 68-86 is T_track_running_stats 
=            line 193 cols 87-87 is '=' 
True         line 193 cols 88-91 is T_BoolConstant (value = true)
)            line 193 cols 92-92 is ')' 
)            line 194 cols 5-5 is ')' 
(            line 195 cols 5-5 is '(' 
branch7x7dbl_2 line 195 cols 6-19 is T_Identifier 
)            line 195 cols 20-20 is ')' 
:            line 195 cols 21-21 is ':' 
BasicConv2d  line 195 cols 23-33 is T_Identifier 
(            line 195 cols 34-34 is '(' 
(            line 196 cols 7-7 is '(' 
conv         line 196 cols 8-11 is T_Identifier 
)            line 196 cols 12-12 is ')' 
:            line 196 cols 13-13 is ':' 
Conv2d       line 196 cols 15-20 is T_Conv2d 
(            line 196 cols 21-21 is '(' 
160          line 196 cols 22-24 is T_IntConstant (value = 160)
,            line 196 cols 25-25 is ',' 
160          line 196 cols 27-29 is T_IntConstant (value = 160)
,            line 196 cols 30-30 is ',' 
kernel_size  line 196 cols 32-42 is T_kernel_size 
=            line 196 cols 43-43 is '=' 
(            line 196 cols 44-44 is '(' 
7            line 196 cols 45-45 is T_IntConstant (value = 7)
,            line 196 cols 46-46 is ',' 
1            line 196 cols 48-48 is T_IntConstant (value = 1)
)            line 196 cols 49-49 is ')' 
,            line 196 cols 50-50 is ',' 
stride       line 196 cols 52-57 is T_stride 
=            line 196 cols 58-58 is '=' 
(            line 196 cols 59-59 is '(' 
1            line 196 cols 60-60 is T_IntConstant (value = 1)
,            line 196 cols 61-61 is ',' 
1            line 196 cols 63-63 is T_IntConstant (value = 1)
)            line 196 cols 64-64 is ')' 
,            line 196 cols 65-65 is ',' 
padding      line 196 cols 67-73 is T_padding 
=            line 196 cols 74-74 is '=' 
(            line 196 cols 75-75 is '(' 
3            line 196 cols 76-76 is T_IntConstant (value = 3)
,            line 196 cols 77-77 is ',' 
0            line 196 cols 79-79 is T_IntConstant (value = 0)
)            line 196 cols 80-80 is ')' 
,            line 196 cols 81-81 is ',' 
bias         line 196 cols 83-86 is T_bias 
=            line 196 cols 87-87 is '=' 
False        line 196 cols 88-92 is T_BoolConstant (value = false)
)            line 196 cols 93-93 is ')' 
(            line 197 cols 7-7 is '(' 
bn           line 197 cols 8-9 is T_Identifier 
)            line 197 cols 10-10 is ')' 
:            line 197 cols 11-11 is ':' 
BatchNorm2d  line 197 cols 13-23 is T_BatchNorm2d 
(            line 197 cols 24-24 is '(' 
160          line 197 cols 25-27 is T_IntConstant (value = 160)
,            line 197 cols 28-28 is ',' 
eps          line 197 cols 30-32 is T_eps 
=            line 197 cols 33-33 is '=' 
0.001        line 197 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 197 cols 39-39 is ',' 
momentum     line 197 cols 41-48 is T_momentum 
=            line 197 cols 49-49 is '=' 
0.1          line 197 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 197 cols 53-53 is ',' 
affine       line 197 cols 55-60 is T_Identifier 
=            line 197 cols 61-61 is '=' 
True         line 197 cols 62-65 is T_BoolConstant (value = true)
,            line 197 cols 66-66 is ',' 
track_running_stats line 197 cols 68-86 is T_track_running_stats 
=            line 197 cols 87-87 is '=' 
True         line 197 cols 88-91 is T_BoolConstant (value = true)
)            line 197 cols 92-92 is ')' 
)            line 198 cols 5-5 is ')' 
(            line 199 cols 5-5 is '(' 
branch7x7dbl_3 line 199 cols 6-19 is T_Identifier 
)            line 199 cols 20-20 is ')' 
:            line 199 cols 21-21 is ':' 
BasicConv2d  line 199 cols 23-33 is T_Identifier 
(            line 199 cols 34-34 is '(' 
(            line 200 cols 7-7 is '(' 
conv         line 200 cols 8-11 is T_Identifier 
)            line 200 cols 12-12 is ')' 
:            line 200 cols 13-13 is ':' 
Conv2d       line 200 cols 15-20 is T_Conv2d 
(            line 200 cols 21-21 is '(' 
160          line 200 cols 22-24 is T_IntConstant (value = 160)
,            line 200 cols 25-25 is ',' 
160          line 200 cols 27-29 is T_IntConstant (value = 160)
,            line 200 cols 30-30 is ',' 
kernel_size  line 200 cols 32-42 is T_kernel_size 
=            line 200 cols 43-43 is '=' 
(            line 200 cols 44-44 is '(' 
1            line 200 cols 45-45 is T_IntConstant (value = 1)
,            line 200 cols 46-46 is ',' 
7            line 200 cols 48-48 is T_IntConstant (value = 7)
)            line 200 cols 49-49 is ')' 
,            line 200 cols 50-50 is ',' 
stride       line 200 cols 52-57 is T_stride 
=            line 200 cols 58-58 is '=' 
(            line 200 cols 59-59 is '(' 
1            line 200 cols 60-60 is T_IntConstant (value = 1)
,            line 200 cols 61-61 is ',' 
1            line 200 cols 63-63 is T_IntConstant (value = 1)
)            line 200 cols 64-64 is ')' 
,            line 200 cols 65-65 is ',' 
padding      line 200 cols 67-73 is T_padding 
=            line 200 cols 74-74 is '=' 
(            line 200 cols 75-75 is '(' 
0            line 200 cols 76-76 is T_IntConstant (value = 0)
,            line 200 cols 77-77 is ',' 
3            line 200 cols 79-79 is T_IntConstant (value = 3)
)            line 200 cols 80-80 is ')' 
,            line 200 cols 81-81 is ',' 
bias         line 200 cols 83-86 is T_bias 
=            line 200 cols 87-87 is '=' 
False        line 200 cols 88-92 is T_BoolConstant (value = false)
)            line 200 cols 93-93 is ')' 
(            line 201 cols 7-7 is '(' 
bn           line 201 cols 8-9 is T_Identifier 
)            line 201 cols 10-10 is ')' 
:            line 201 cols 11-11 is ':' 
BatchNorm2d  line 201 cols 13-23 is T_BatchNorm2d 
(            line 201 cols 24-24 is '(' 
160          line 201 cols 25-27 is T_IntConstant (value = 160)
,            line 201 cols 28-28 is ',' 
eps          line 201 cols 30-32 is T_eps 
=            line 201 cols 33-33 is '=' 
0.001        line 201 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 201 cols 39-39 is ',' 
momentum     line 201 cols 41-48 is T_momentum 
=            line 201 cols 49-49 is '=' 
0.1          line 201 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 201 cols 53-53 is ',' 
affine       line 201 cols 55-60 is T_Identifier 
=            line 201 cols 61-61 is '=' 
True         line 201 cols 62-65 is T_BoolConstant (value = true)
,            line 201 cols 66-66 is ',' 
track_running_stats line 201 cols 68-86 is T_track_running_stats 
=            line 201 cols 87-87 is '=' 
True         line 201 cols 88-91 is T_BoolConstant (value = true)
)            line 201 cols 92-92 is ')' 
)            line 202 cols 5-5 is ')' 
(            line 203 cols 5-5 is '(' 
branch7x7dbl_4 line 203 cols 6-19 is T_Identifier 
)            line 203 cols 20-20 is ')' 
:            line 203 cols 21-21 is ':' 
BasicConv2d  line 203 cols 23-33 is T_Identifier 
(            line 203 cols 34-34 is '(' 
(            line 204 cols 7-7 is '(' 
conv         line 204 cols 8-11 is T_Identifier 
)            line 204 cols 12-12 is ')' 
:            line 204 cols 13-13 is ':' 
Conv2d       line 204 cols 15-20 is T_Conv2d 
(            line 204 cols 21-21 is '(' 
160          line 204 cols 22-24 is T_IntConstant (value = 160)
,            line 204 cols 25-25 is ',' 
160          line 204 cols 27-29 is T_IntConstant (value = 160)
,            line 204 cols 30-30 is ',' 
kernel_size  line 204 cols 32-42 is T_kernel_size 
=            line 204 cols 43-43 is '=' 
(            line 204 cols 44-44 is '(' 
7            line 204 cols 45-45 is T_IntConstant (value = 7)
,            line 204 cols 46-46 is ',' 
1            line 204 cols 48-48 is T_IntConstant (value = 1)
)            line 204 cols 49-49 is ')' 
,            line 204 cols 50-50 is ',' 
stride       line 204 cols 52-57 is T_stride 
=            line 204 cols 58-58 is '=' 
(            line 204 cols 59-59 is '(' 
1            line 204 cols 60-60 is T_IntConstant (value = 1)
,            line 204 cols 61-61 is ',' 
1            line 204 cols 63-63 is T_IntConstant (value = 1)
)            line 204 cols 64-64 is ')' 
,            line 204 cols 65-65 is ',' 
padding      line 204 cols 67-73 is T_padding 
=            line 204 cols 74-74 is '=' 
(            line 204 cols 75-75 is '(' 
3            line 204 cols 76-76 is T_IntConstant (value = 3)
,            line 204 cols 77-77 is ',' 
0            line 204 cols 79-79 is T_IntConstant (value = 0)
)            line 204 cols 80-80 is ')' 
,            line 204 cols 81-81 is ',' 
bias         line 204 cols 83-86 is T_bias 
=            line 204 cols 87-87 is '=' 
False        line 204 cols 88-92 is T_BoolConstant (value = false)
)            line 204 cols 93-93 is ')' 
(            line 205 cols 7-7 is '(' 
bn           line 205 cols 8-9 is T_Identifier 
)            line 205 cols 10-10 is ')' 
:            line 205 cols 11-11 is ':' 
BatchNorm2d  line 205 cols 13-23 is T_BatchNorm2d 
(            line 205 cols 24-24 is '(' 
160          line 205 cols 25-27 is T_IntConstant (value = 160)
,            line 205 cols 28-28 is ',' 
eps          line 205 cols 30-32 is T_eps 
=            line 205 cols 33-33 is '=' 
0.001        line 205 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 205 cols 39-39 is ',' 
momentum     line 205 cols 41-48 is T_momentum 
=            line 205 cols 49-49 is '=' 
0.1          line 205 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 205 cols 53-53 is ',' 
affine       line 205 cols 55-60 is T_Identifier 
=            line 205 cols 61-61 is '=' 
True         line 205 cols 62-65 is T_BoolConstant (value = true)
,            line 205 cols 66-66 is ',' 
track_running_stats line 205 cols 68-86 is T_track_running_stats 
=            line 205 cols 87-87 is '=' 
True         line 205 cols 88-91 is T_BoolConstant (value = true)
)            line 205 cols 92-92 is ')' 
)            line 206 cols 5-5 is ')' 
(            line 207 cols 5-5 is '(' 
branch7x7dbl_5 line 207 cols 6-19 is T_Identifier 
)            line 207 cols 20-20 is ')' 
:            line 207 cols 21-21 is ':' 
BasicConv2d  line 207 cols 23-33 is T_Identifier 
(            line 207 cols 34-34 is '(' 
(            line 208 cols 7-7 is '(' 
conv         line 208 cols 8-11 is T_Identifier 
)            line 208 cols 12-12 is ')' 
:            line 208 cols 13-13 is ':' 
Conv2d       line 208 cols 15-20 is T_Conv2d 
(            line 208 cols 21-21 is '(' 
160          line 208 cols 22-24 is T_IntConstant (value = 160)
,            line 208 cols 25-25 is ',' 
192          line 208 cols 27-29 is T_IntConstant (value = 192)
,            line 208 cols 30-30 is ',' 
kernel_size  line 208 cols 32-42 is T_kernel_size 
=            line 208 cols 43-43 is '=' 
(            line 208 cols 44-44 is '(' 
1            line 208 cols 45-45 is T_IntConstant (value = 1)
,            line 208 cols 46-46 is ',' 
7            line 208 cols 48-48 is T_IntConstant (value = 7)
)            line 208 cols 49-49 is ')' 
,            line 208 cols 50-50 is ',' 
stride       line 208 cols 52-57 is T_stride 
=            line 208 cols 58-58 is '=' 
(            line 208 cols 59-59 is '(' 
1            line 208 cols 60-60 is T_IntConstant (value = 1)
,            line 208 cols 61-61 is ',' 
1            line 208 cols 63-63 is T_IntConstant (value = 1)
)            line 208 cols 64-64 is ')' 
,            line 208 cols 65-65 is ',' 
padding      line 208 cols 67-73 is T_padding 
=            line 208 cols 74-74 is '=' 
(            line 208 cols 75-75 is '(' 
0            line 208 cols 76-76 is T_IntConstant (value = 0)
,            line 208 cols 77-77 is ',' 
3            line 208 cols 79-79 is T_IntConstant (value = 3)
)            line 208 cols 80-80 is ')' 
,            line 208 cols 81-81 is ',' 
bias         line 208 cols 83-86 is T_bias 
=            line 208 cols 87-87 is '=' 
False        line 208 cols 88-92 is T_BoolConstant (value = false)
)            line 208 cols 93-93 is ')' 
(            line 209 cols 7-7 is '(' 
bn           line 209 cols 8-9 is T_Identifier 
)            line 209 cols 10-10 is ')' 
:            line 209 cols 11-11 is ':' 
BatchNorm2d  line 209 cols 13-23 is T_BatchNorm2d 
(            line 209 cols 24-24 is '(' 
192          line 209 cols 25-27 is T_IntConstant (value = 192)
,            line 209 cols 28-28 is ',' 
eps          line 209 cols 30-32 is T_eps 
=            line 209 cols 33-33 is '=' 
0.001        line 209 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 209 cols 39-39 is ',' 
momentum     line 209 cols 41-48 is T_momentum 
=            line 209 cols 49-49 is '=' 
0.1          line 209 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 209 cols 53-53 is ',' 
affine       line 209 cols 55-60 is T_Identifier 
=            line 209 cols 61-61 is '=' 
True         line 209 cols 62-65 is T_BoolConstant (value = true)
,            line 209 cols 66-66 is ',' 
track_running_stats line 209 cols 68-86 is T_track_running_stats 
=            line 209 cols 87-87 is '=' 
True         line 209 cols 88-91 is T_BoolConstant (value = true)
)            line 209 cols 92-92 is ')' 
)            line 210 cols 5-5 is ')' 
(            line 211 cols 5-5 is '(' 
branch_pool  line 211 cols 6-16 is T_Identifier 
)            line 211 cols 17-17 is ')' 
:            line 211 cols 18-18 is ':' 
BasicConv2d  line 211 cols 20-30 is T_Identifier 
(            line 211 cols 31-31 is '(' 
(            line 212 cols 7-7 is '(' 
conv         line 212 cols 8-11 is T_Identifier 
)            line 212 cols 12-12 is ')' 
:            line 212 cols 13-13 is ':' 
Conv2d       line 212 cols 15-20 is T_Conv2d 
(            line 212 cols 21-21 is '(' 
768          line 212 cols 22-24 is T_IntConstant (value = 768)
,            line 212 cols 25-25 is ',' 
192          line 212 cols 27-29 is T_IntConstant (value = 192)
,            line 212 cols 30-30 is ',' 
kernel_size  line 212 cols 32-42 is T_kernel_size 
=            line 212 cols 43-43 is '=' 
(            line 212 cols 44-44 is '(' 
1            line 212 cols 45-45 is T_IntConstant (value = 1)
,            line 212 cols 46-46 is ',' 
1            line 212 cols 48-48 is T_IntConstant (value = 1)
)            line 212 cols 49-49 is ')' 
,            line 212 cols 50-50 is ',' 
stride       line 212 cols 52-57 is T_stride 
=            line 212 cols 58-58 is '=' 
(            line 212 cols 59-59 is '(' 
1            line 212 cols 60-60 is T_IntConstant (value = 1)
,            line 212 cols 61-61 is ',' 
1            line 212 cols 63-63 is T_IntConstant (value = 1)
)            line 212 cols 64-64 is ')' 
,            line 212 cols 65-65 is ',' 
bias         line 212 cols 67-70 is T_bias 
=            line 212 cols 71-71 is '=' 
False        line 212 cols 72-76 is T_BoolConstant (value = false)
)            line 212 cols 77-77 is ')' 
(            line 213 cols 7-7 is '(' 
bn           line 213 cols 8-9 is T_Identifier 
)            line 213 cols 10-10 is ')' 
:            line 213 cols 11-11 is ':' 
BatchNorm2d  line 213 cols 13-23 is T_BatchNorm2d 
(            line 213 cols 24-24 is '(' 
192          line 213 cols 25-27 is T_IntConstant (value = 192)
,            line 213 cols 28-28 is ',' 
eps          line 213 cols 30-32 is T_eps 
=            line 213 cols 33-33 is '=' 
0.001        line 213 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 213 cols 39-39 is ',' 
momentum     line 213 cols 41-48 is T_momentum 
=            line 213 cols 49-49 is '=' 
0.1          line 213 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 213 cols 53-53 is ',' 
affine       line 213 cols 55-60 is T_Identifier 
=            line 213 cols 61-61 is '=' 
True         line 213 cols 62-65 is T_BoolConstant (value = true)
,            line 213 cols 66-66 is ',' 
track_running_stats line 213 cols 68-86 is T_track_running_stats 
=            line 213 cols 87-87 is '=' 
True         line 213 cols 88-91 is T_BoolConstant (value = true)
)            line 213 cols 92-92 is ')' 
)            line 214 cols 5-5 is ')' 
)            line 215 cols 3-3 is ')' 
(            line 216 cols 3-3 is '(' 
Mixed_6d     line 216 cols 4-11 is T_Identifier 
)            line 216 cols 12-12 is ')' 
:            line 216 cols 13-13 is ':' 
InceptionC   line 216 cols 15-24 is T_Identifier 
(            line 216 cols 25-25 is '(' 
(            line 217 cols 5-5 is '(' 
branch1x1    line 217 cols 6-14 is T_Identifier 
)            line 217 cols 15-15 is ')' 
:            line 217 cols 16-16 is ':' 
BasicConv2d  line 217 cols 18-28 is T_Identifier 
(            line 217 cols 29-29 is '(' 
(            line 218 cols 7-7 is '(' 
conv         line 218 cols 8-11 is T_Identifier 
)            line 218 cols 12-12 is ')' 
:            line 218 cols 13-13 is ':' 
Conv2d       line 218 cols 15-20 is T_Conv2d 
(            line 218 cols 21-21 is '(' 
768          line 218 cols 22-24 is T_IntConstant (value = 768)
,            line 218 cols 25-25 is ',' 
192          line 218 cols 27-29 is T_IntConstant (value = 192)
,            line 218 cols 30-30 is ',' 
kernel_size  line 218 cols 32-42 is T_kernel_size 
=            line 218 cols 43-43 is '=' 
(            line 218 cols 44-44 is '(' 
1            line 218 cols 45-45 is T_IntConstant (value = 1)
,            line 218 cols 46-46 is ',' 
1            line 218 cols 48-48 is T_IntConstant (value = 1)
)            line 218 cols 49-49 is ')' 
,            line 218 cols 50-50 is ',' 
stride       line 218 cols 52-57 is T_stride 
=            line 218 cols 58-58 is '=' 
(            line 218 cols 59-59 is '(' 
1            line 218 cols 60-60 is T_IntConstant (value = 1)
,            line 218 cols 61-61 is ',' 
1            line 218 cols 63-63 is T_IntConstant (value = 1)
)            line 218 cols 64-64 is ')' 
,            line 218 cols 65-65 is ',' 
bias         line 218 cols 67-70 is T_bias 
=            line 218 cols 71-71 is '=' 
False        line 218 cols 72-76 is T_BoolConstant (value = false)
)            line 218 cols 77-77 is ')' 
(            line 219 cols 7-7 is '(' 
bn           line 219 cols 8-9 is T_Identifier 
)            line 219 cols 10-10 is ')' 
:            line 219 cols 11-11 is ':' 
BatchNorm2d  line 219 cols 13-23 is T_BatchNorm2d 
(            line 219 cols 24-24 is '(' 
192          line 219 cols 25-27 is T_IntConstant (value = 192)
,            line 219 cols 28-28 is ',' 
eps          line 219 cols 30-32 is T_eps 
=            line 219 cols 33-33 is '=' 
0.001        line 219 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 219 cols 39-39 is ',' 
momentum     line 219 cols 41-48 is T_momentum 
=            line 219 cols 49-49 is '=' 
0.1          line 219 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 219 cols 53-53 is ',' 
affine       line 219 cols 55-60 is T_Identifier 
=            line 219 cols 61-61 is '=' 
True         line 219 cols 62-65 is T_BoolConstant (value = true)
,            line 219 cols 66-66 is ',' 
track_running_stats line 219 cols 68-86 is T_track_running_stats 
=            line 219 cols 87-87 is '=' 
True         line 219 cols 88-91 is T_BoolConstant (value = true)
)            line 219 cols 92-92 is ')' 
)            line 220 cols 5-5 is ')' 
(            line 221 cols 5-5 is '(' 
branch7x7_1  line 221 cols 6-16 is T_Identifier 
)            line 221 cols 17-17 is ')' 
:            line 221 cols 18-18 is ':' 
BasicConv2d  line 221 cols 20-30 is T_Identifier 
(            line 221 cols 31-31 is '(' 
(            line 222 cols 7-7 is '(' 
conv         line 222 cols 8-11 is T_Identifier 
)            line 222 cols 12-12 is ')' 
:            line 222 cols 13-13 is ':' 
Conv2d       line 222 cols 15-20 is T_Conv2d 
(            line 222 cols 21-21 is '(' 
768          line 222 cols 22-24 is T_IntConstant (value = 768)
,            line 222 cols 25-25 is ',' 
160          line 222 cols 27-29 is T_IntConstant (value = 160)
,            line 222 cols 30-30 is ',' 
kernel_size  line 222 cols 32-42 is T_kernel_size 
=            line 222 cols 43-43 is '=' 
(            line 222 cols 44-44 is '(' 
1            line 222 cols 45-45 is T_IntConstant (value = 1)
,            line 222 cols 46-46 is ',' 
1            line 222 cols 48-48 is T_IntConstant (value = 1)
)            line 222 cols 49-49 is ')' 
,            line 222 cols 50-50 is ',' 
stride       line 222 cols 52-57 is T_stride 
=            line 222 cols 58-58 is '=' 
(            line 222 cols 59-59 is '(' 
1            line 222 cols 60-60 is T_IntConstant (value = 1)
,            line 222 cols 61-61 is ',' 
1            line 222 cols 63-63 is T_IntConstant (value = 1)
)            line 222 cols 64-64 is ')' 
,            line 222 cols 65-65 is ',' 
bias         line 222 cols 67-70 is T_bias 
=            line 222 cols 71-71 is '=' 
False        line 222 cols 72-76 is T_BoolConstant (value = false)
)            line 222 cols 77-77 is ')' 
(            line 223 cols 7-7 is '(' 
bn           line 223 cols 8-9 is T_Identifier 
)            line 223 cols 10-10 is ')' 
:            line 223 cols 11-11 is ':' 
BatchNorm2d  line 223 cols 13-23 is T_BatchNorm2d 
(            line 223 cols 24-24 is '(' 
160          line 223 cols 25-27 is T_IntConstant (value = 160)
,            line 223 cols 28-28 is ',' 
eps          line 223 cols 30-32 is T_eps 
=            line 223 cols 33-33 is '=' 
0.001        line 223 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 223 cols 39-39 is ',' 
momentum     line 223 cols 41-48 is T_momentum 
=            line 223 cols 49-49 is '=' 
0.1          line 223 cols 50-52 is T_DoubleConstant (value = 0.1)
,            line 223 cols 53-53 is ',' 
affine       line 223 cols 55-60 is T_Identifier 
=            line 223 cols 61-61 is '=' 
True         line 223 cols 62-65 is T_BoolConstant (value = true)
,            line 223 cols 66-66 is ',' 
track_running_stats line 223 cols 68-86 is T_track_running_stats 
=            line 223 cols 87-87 is '=' 
True         line 223 cols 88-91 is T_BoolConstant (value = true)
)            line 223 cols 92-92 is ')' 
)            line 224 cols 5-5 is ')' 
(            line 225 cols 5-5 is '(' 
branch7x7_2  line 225 cols 6-16 is T_Identifier 
)            line 225 cols 17-17 is ')' 
:            line 225 cols 18-18 is ':' 
BasicConv2d  line 225 cols 20-30 is T_Identifier 
(            line 225 cols 31-31 is '(' 
(            line 226 cols 7-7 is '(' 
conv         line 226 cols 8-11 is T_Identifier 
)            line 226 cols 12-12 is ')' 
:            line 226 cols 13-13 is ':' 
Conv2d       line 226 cols 15-20 is T_Conv2d 
(            line 226 cols 21-21 is '(' 
160          line 226 cols 22-24 is T_IntConstant (value = 160)
,            line 226 cols 25-25 is ',' 
160          line 226 cols 27-29 is T_IntConstant (value = 160)
,            line 226 cols 30-30 is ',' 
kernel_size  line 226 cols 32-42 is T_kernel_size 
=            line 226 cols 43-43 is '=' 
(            line 226 cols 44-44 is '(' 
1            line 226 cols 45-45 is T_IntConstant (value = 1)
,            line 226 cols 46-46 is ',' 
7            line 226 cols 48-48 is T_IntConstant (value = 7)
)            line 226 cols 49-49 is ')' 
,            line 226 cols 50-50 is ',' 
stride       line 226 cols 52-57 is T_stride 
=            line 226 cols 58-58 is '=' 
(            line 226 cols 59-59 is '(' 
1            line 226 cols 60-60 is T_IntConstant (value = 1)
,            line 226 cols 61-61 is ',' 
1            line 226 cols 63-63 is T_IntConstant (value = 1)
)            line 226 cols 64-64 is ')' 
,            line 226 cols 65-65 is ',' 
padding      line 226 cols 67-73 is T_padding 
=            line 226 cols 74-74 is '=' 
(            line 226 cols 75-75 is '(' 
0            line 226 cols 76-76 is T_IntConstant (value = 0)
,            line 226 cols 77-77 is ',' 
3            line 226 cols 79-79 is T_IntConstant (value = 3)
)            line 226 cols 80-80 is ')' 
,            line 226 cols 81-81 is ',' 
bias         line 226 cols 83-86 is T_bias 
=            line 226 cols 87-87 is '=' 
False        line 226 cols 88-92 is T_BoolConstant (value = false)
)            line 226 cols 93-93 is ')' 
(            line 227 cols 7-7 is '(' 
bn           line 227 cols 8-9 is T_Identifier 
)            line 227 cols 10-10 is ')' 
:            line 227 cols 11-11 is ':' 
BatchNorm2d  line 227 cols 13-23 is T_BatchNorm2d 
(            line 227 cols 24-24 is '(' 
160          line 227 cols 25-27 is T_IntConstant (value = 160)
,            line 227 cols 28-28 is ',' 
eps          line 227 cols 30-32 is T_eps 
=            line 227 cols 33-33 is '=' 
0.001        line 227 cols 34-38 is T_DoubleConstant (value = 0.001)
,            line 227 cols 39-39 is ',' 
