Inception3   line 1 cols 1-10 is T_Identifier 
1            line 16 cols 41-41 is T_IntConstant (value = 1)
,            line 16 cols 42-42 is ',' 
1            line 16 cols 44-44 is T_IntConstant (value = 1)
)            line 16 cols 45-45 is ')' 
,            line 16 cols 46-46 is ',' 
stride       line 16 cols 48-53 is T_stride 
=            line 16 cols 54-54 is '=' 
(            line 16 cols 55-55 is '(' 
1            line 16 cols 56-56 is T_IntConstant (value = 1)
,            line 16 cols 57-57 is ',' 
1            line 16 cols 59-59 is T_IntConstant (value = 1)
)            line 16 cols 60-60 is ')' 
,            line 16 cols 61-61 is ',' 
bias         line 16 cols 63-66 is T_bias 
=            line 16 cols 67-67 is '=' 
False        line 16 cols 68-72 is T_BoolConstant (value = false)
)            line 16 cols 73-73 is ')' 
(            line 17 cols 5-5 is '(' 
bn           line 17 cols 6-7 is T_Identifier 
)            line 17 cols 8-8 is ')' 
:            line 17 cols 9-9 is ':' 
BatchNorm2d  line 17 cols 11-21 is T_BatchNorm2d 
(            line 17 cols 22-22 is '(' 
80           line 17 cols 23-24 is T_IntConstant (value = 80)
,            line 17 cols 25-25 is ',' 
eps          line 17 cols 27-29 is T_eps 
=            line 17 cols 30-30 is '=' 
0.001        line 17 cols 31-35 is T_DoubleConstant (value = 0.001)
,            line 17 cols 36-36 is ',' 
momentum     line 17 cols 38-45 is T_momentum 
=            line 17 cols 46-46 is '=' 
0.1          line 17 cols 47-49 is T_DoubleConstant (value = 0.1)
,            line 17 cols 50-50 is ',' 
affine       line 17 cols 52-57 is T_Identifier 
=            line 17 cols 58-58 is '=' 
True         line 17 cols 59-62 is T_BoolConstant (value = true)
,            line 17 cols 63-63 is ',' 
track_running_stats line 17 cols 65-83 is T_track_running_stats 
=            line 17 cols 84-84 is '=' 
True         line 17 cols 85-88 is T_BoolConstant (value = true)
)            line 17 cols 89-89 is ')' 
)            line 18 cols 3-3 is ')' 
(            line 19 cols 3-3 is '(' 
Conv2d_4a_3x3 line 19 cols 4-16 is T_Identifier 
)            line 19 cols 17-17 is ')' 
:            line 19 cols 18-18 is ':' 
BasicConv2d  line 19 cols 20-30 is T_Identifier 
(            line 19 cols 31-31 is '(' 
(            line 20 cols 5-5 is '(' 
conv         line 20 cols 6-9 is T_Identifier 
)            line 20 cols 10-10 is ')' 
:            line 20 cols 11-11 is ':' 
Conv2d       line 20 cols 13-18 is T_Conv2d 
