DenseNet     line 1 cols 1-8 is T_Identifier 
(            line 17 cols 9-9 is '(' 
norm1        line 17 cols 10-14 is T_Identifier 
)            line 17 cols 15-15 is ')' 
:            line 17 cols 16-16 is ':' 
BatchNorm2d  line 17 cols 18-28 is T_BatchNorm2d 
(            line 17 cols 29-29 is '(' 
96           line 17 cols 30-31 is T_IntConstant (value = 96)
,            line 17 cols 32-32 is ',' 
eps          line 17 cols 34-36 is T_eps 
=            line 17 cols 37-37 is '=' 
1e-05        line 17 cols 38-42 is T_DoubleConstant (value = 1e-05)
,            line 17 cols 43-43 is ',' 
momentum     line 17 cols 45-52 is T_momentum 
=            line 17 cols 53-53 is '=' 
0.1          line 17 cols 54-56 is T_DoubleConstant (value = 0.1)
,            line 17 cols 57-57 is ',' 
affine       line 17 cols 59-64 is T_Identifier 
=            line 17 cols 65-65 is '=' 
True         line 17 cols 66-69 is T_BoolConstant (value = true)
,            line 17 cols 70-70 is ',' 
track_running_stats line 17 cols 72-90 is T_track_running_stats 
=            line 17 cols 91-91 is '=' 
True         line 17 cols 92-95 is T_BoolConstant (value = true)
)            line 17 cols 96-96 is ')' 
(            line 18 cols 9-9 is '(' 
relu1        line 18 cols 10-14 is T_Identifier 
)            line 18 cols 15-15 is ')' 
:            line 18 cols 16-16 is ':' 
ReLU         line 18 cols 18-21 is T_ReLU 
(            line 18 cols 22-22 is '(' 
inplace      line 18 cols 23-29 is T_inplace 
=            line 18 cols 30-30 is '=' 
True         line 18 cols 31-34 is T_BoolConstant (value = true)
)            line 18 cols 35-35 is ')' 
(            line 19 cols 9-9 is '(' 
conv1        line 19 cols 10-14 is T_Identifier 
)            line 19 cols 15-15 is ')' 
:            line 19 cols 16-16 is ':' 
Conv2d       line 19 cols 18-23 is T_Conv2d 
(            line 19 cols 24-24 is '(' 
96           line 19 cols 25-26 is T_IntConstant (value = 96)
,            line 19 cols 27-27 is ',' 
128          line 19 cols 29-31 is T_IntConstant (value = 128)
,            line 19 cols 32-32 is ',' 
kernel_size  line 19 cols 34-44 is T_kernel_size 
=            line 19 cols 45-45 is '=' 
(            line 19 cols 46-46 is '(' 
1            line 19 cols 47-47 is T_IntConstant (value = 1)
,            line 19 cols 48-48 is ',' 
1            line 19 cols 50-50 is T_IntConstant (value = 1)
)            line 19 cols 51-51 is ')' 
,            line 19 cols 52-52 is ',' 
stride       line 19 cols 54-59 is T_stride 
=            line 19 cols 60-60 is '=' 
(            line 19 cols 61-61 is '(' 
1            line 19 cols 62-62 is T_IntConstant (value = 1)
,            line 19 cols 63-63 is ',' 
1            line 19 cols 65-65 is T_IntConstant (value = 1)
)            line 19 cols 66-66 is ')' 
,            line 19 cols 67-67 is ',' 
bias         line 19 cols 69-72 is T_bias 
=            line 19 cols 73-73 is '=' 
False        line 19 cols 74-78 is T_BoolConstant (value = false)
)            line 19 cols 79-79 is ')' 
(            line 20 cols 9-9 is '(' 
norm2        line 20 cols 10-14 is T_Identifier 
)            line 20 cols 15-15 is ')' 
:            line 20 cols 16-16 is ':' 
BatchNorm2d  line 20 cols 18-28 is T_BatchNorm2d 
(            line 20 cols 29-29 is '(' 
128          line 20 cols 30-32 is T_IntConstant (value = 128)
,            line 20 cols 33-33 is ',' 
eps          line 20 cols 35-37 is T_eps 
=            line 20 cols 38-38 is '=' 
1e-05        line 20 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 20 cols 44-44 is ',' 
momentum     line 20 cols 46-53 is T_momentum 
=            line 20 cols 54-54 is '=' 
0.1          line 20 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 20 cols 58-58 is ',' 
affine       line 20 cols 60-65 is T_Identifier 
=            line 20 cols 66-66 is '=' 
True         line 20 cols 67-70 is T_BoolConstant (value = true)
,            line 20 cols 71-71 is ',' 
track_running_stats line 20 cols 73-91 is T_track_running_stats 
=            line 20 cols 92-92 is '=' 
True         line 20 cols 93-96 is T_BoolConstant (value = true)
