DenseNet     line 1 cols 1-8 is T_Identifier 
,            line 294 cols 28-28 is ',' 
32           line 294 cols 30-31 is T_IntConstant (value = 32)
,            line 294 cols 32-32 is ',' 
kernel_size  line 294 cols 34-44 is T_kernel_size 
=            line 294 cols 45-45 is '=' 
(            line 294 cols 46-46 is '(' 
3            line 294 cols 47-47 is T_IntConstant (value = 3)
,            line 294 cols 48-48 is ',' 
3            line 294 cols 50-50 is T_IntConstant (value = 3)
)            line 294 cols 51-51 is ')' 
,            line 294 cols 52-52 is ',' 
stride       line 294 cols 54-59 is T_stride 
=            line 294 cols 60-60 is '=' 
(            line 294 cols 61-61 is '(' 
1            line 294 cols 62-62 is T_IntConstant (value = 1)
,            line 294 cols 63-63 is ',' 
1            line 294 cols 65-65 is T_IntConstant (value = 1)
)            line 294 cols 66-66 is ')' 
,            line 294 cols 67-67 is ',' 
padding      line 294 cols 69-75 is T_padding 
=            line 294 cols 76-76 is '=' 
(            line 294 cols 77-77 is '(' 
1            line 294 cols 78-78 is T_IntConstant (value = 1)
,            line 294 cols 79-79 is ',' 
1            line 294 cols 81-81 is T_IntConstant (value = 1)
)            line 294 cols 82-82 is ')' 
,            line 294 cols 83-83 is ',' 
bias         line 294 cols 85-88 is T_bias 
=            line 294 cols 89-89 is '=' 
False        line 294 cols 90-94 is T_BoolConstant (value = false)
)            line 294 cols 95-95 is ')' 
)            line 295 cols 7-7 is ')' 
(            line 296 cols 7-7 is '(' 
denselayer17 line 296 cols 8-19 is T_Identifier 
)            line 296 cols 20-20 is ')' 
:            line 296 cols 21-21 is ':' 
_DenseLayer  line 296 cols 23-33 is T_Identifier 
(            line 296 cols 34-34 is '(' 
(            line 297 cols 9-9 is '(' 
norm1        line 297 cols 10-14 is T_Identifier 
)            line 297 cols 15-15 is ')' 
:            line 297 cols 16-16 is ':' 
BatchNorm2d  line 297 cols 18-28 is T_BatchNorm2d 
(            line 297 cols 29-29 is '(' 
768          line 297 cols 30-32 is T_IntConstant (value = 768)
,            line 297 cols 33-33 is ',' 
eps          line 297 cols 35-37 is T_eps 
=            line 297 cols 38-38 is '=' 
1e-05        line 297 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 297 cols 44-44 is ',' 
momentum     line 297 cols 46-53 is T_momentum 
=            line 297 cols 54-54 is '=' 
0.1          line 297 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 297 cols 58-58 is ',' 
affine       line 297 cols 60-65 is T_Identifier 
=            line 297 cols 66-66 is '=' 
True         line 297 cols 67-70 is T_BoolConstant (value = true)
,            line 297 cols 71-71 is ',' 
track_running_stats line 297 cols 73-91 is T_track_running_stats 
=            line 297 cols 92-92 is '=' 
True         line 297 cols 93-96 is T_BoolConstant (value = true)
)            line 297 cols 97-97 is ')' 
(            line 298 cols 9-9 is '(' 
relu1        line 298 cols 10-14 is T_Identifier 
)            line 298 cols 15-15 is ')' 
:            line 298 cols 16-16 is ':' 
ReLU         line 298 cols 18-21 is T_ReLU 
(            line 298 cols 22-22 is '(' 
inplace      line 298 cols 23-29 is T_inplace 
=            line 298 cols 30-30 is '=' 
True         line 298 cols 31-34 is T_BoolConstant (value = true)
)            line 298 cols 35-35 is ')' 
(            line 299 cols 9-9 is '(' 
conv1        line 299 cols 10-14 is T_Identifier 
)            line 299 cols 15-15 is ')' 
:            line 299 cols 16-16 is ':' 
Conv2d       line 299 cols 18-23 is T_Conv2d 
(            line 299 cols 24-24 is '(' 
768          line 299 cols 25-27 is T_IntConstant (value = 768)
,            line 299 cols 28-28 is ',' 
128          line 299 cols 30-32 is T_IntConstant (value = 128)
,            line 299 cols 33-33 is ',' 
kernel_size  line 299 cols 35-45 is T_kernel_size 
=            line 299 cols 46-46 is '=' 
(            line 299 cols 47-47 is '(' 
1            line 299 cols 48-48 is T_IntConstant (value = 1)
,            line 299 cols 49-49 is ',' 
1            line 299 cols 51-51 is T_IntConstant (value = 1)
)            line 299 cols 52-52 is ')' 
,            line 299 cols 53-53 is ',' 
stride       line 299 cols 55-60 is T_stride 
=            line 299 cols 61-61 is '=' 
(            line 299 cols 62-62 is '(' 
1            line 299 cols 63-63 is T_IntConstant (value = 1)
,            line 299 cols 64-64 is ',' 
1            line 299 cols 66-66 is T_IntConstant (value = 1)
)            line 299 cols 67-67 is ')' 
,            line 299 cols 68-68 is ',' 
bias         line 299 cols 70-73 is T_bias 
=            line 299 cols 74-74 is '=' 
False        line 299 cols 75-79 is T_BoolConstant (value = false)
)            line 299 cols 80-80 is ')' 
(            line 300 cols 9-9 is '(' 
norm2        line 300 cols 10-14 is T_Identifier 
)            line 300 cols 15-15 is ')' 
:            line 300 cols 16-16 is ':' 
BatchNorm2d  line 300 cols 18-28 is T_BatchNorm2d 
(            line 300 cols 29-29 is '(' 
128          line 300 cols 30-32 is T_IntConstant (value = 128)
,            line 300 cols 33-33 is ',' 
eps          line 300 cols 35-37 is T_eps 
=            line 300 cols 38-38 is '=' 
1e-05        line 300 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 300 cols 44-44 is ',' 
momentum     line 300 cols 46-53 is T_momentum 
=            line 300 cols 54-54 is '=' 
0.1          line 300 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 300 cols 58-58 is ',' 
affine       line 300 cols 60-65 is T_Identifier 
=            line 300 cols 66-66 is '=' 
True         line 300 cols 67-70 is T_BoolConstant (value = true)
,            line 300 cols 71-71 is ',' 
track_running_stats line 300 cols 73-91 is T_track_running_stats 
=            line 300 cols 92-92 is '=' 
True         line 300 cols 93-96 is T_BoolConstant (value = true)
)            line 300 cols 97-97 is ')' 
(            line 301 cols 9-9 is '(' 
relu2        line 301 cols 10-14 is T_Identifier 
)            line 301 cols 15-15 is ')' 
:            line 301 cols 16-16 is ':' 
ReLU         line 301 cols 18-21 is T_ReLU 
(            line 301 cols 22-22 is '(' 
inplace      line 301 cols 23-29 is T_inplace 
=            line 301 cols 30-30 is '=' 
True         line 301 cols 31-34 is T_BoolConstant (value = true)
)            line 301 cols 35-35 is ')' 
(            line 302 cols 9-9 is '(' 
conv2        line 302 cols 10-14 is T_Identifier 
)            line 302 cols 15-15 is ')' 
:            line 302 cols 16-16 is ':' 
Conv2d       line 302 cols 18-23 is T_Conv2d 
(            line 302 cols 24-24 is '(' 
128          line 302 cols 25-27 is T_IntConstant (value = 128)
,            line 302 cols 28-28 is ',' 
32           line 302 cols 30-31 is T_IntConstant (value = 32)
,            line 302 cols 32-32 is ',' 
kernel_size  line 302 cols 34-44 is T_kernel_size 
=            line 302 cols 45-45 is '=' 
(            line 302 cols 46-46 is '(' 
3            line 302 cols 47-47 is T_IntConstant (value = 3)
,            line 302 cols 48-48 is ',' 
3            line 302 cols 50-50 is T_IntConstant (value = 3)
)            line 302 cols 51-51 is ')' 
,            line 302 cols 52-52 is ',' 
stride       line 302 cols 54-59 is T_stride 
=            line 302 cols 60-60 is '=' 
(            line 302 cols 61-61 is '(' 
1            line 302 cols 62-62 is T_IntConstant (value = 1)
,            line 302 cols 63-63 is ',' 
1            line 302 cols 65-65 is T_IntConstant (value = 1)
)            line 302 cols 66-66 is ')' 
,            line 302 cols 67-67 is ',' 
padding      line 302 cols 69-75 is T_padding 
=            line 302 cols 76-76 is '=' 
(            line 302 cols 77-77 is '(' 
1            line 302 cols 78-78 is T_IntConstant (value = 1)
,            line 302 cols 79-79 is ',' 
1            line 302 cols 81-81 is T_IntConstant (value = 1)
)            line 302 cols 82-82 is ')' 
,            line 302 cols 83-83 is ',' 
bias         line 302 cols 85-88 is T_bias 
=            line 302 cols 89-89 is '=' 
False        line 302 cols 90-94 is T_BoolConstant (value = false)
)            line 302 cols 95-95 is ')' 
)            line 303 cols 7-7 is ')' 
(            line 304 cols 7-7 is '(' 
denselayer18 line 304 cols 8-19 is T_Identifier 
)            line 304 cols 20-20 is ')' 
:            line 304 cols 21-21 is ':' 
_DenseLayer  line 304 cols 23-33 is T_Identifier 
(            line 304 cols 34-34 is '(' 
(            line 305 cols 9-9 is '(' 
norm1        line 305 cols 10-14 is T_Identifier 
)            line 305 cols 15-15 is ')' 
:            line 305 cols 16-16 is ':' 
BatchNorm2d  line 305 cols 18-28 is T_BatchNorm2d 
(            line 305 cols 29-29 is '(' 
800          line 305 cols 30-32 is T_IntConstant (value = 800)
,            line 305 cols 33-33 is ',' 
eps          line 305 cols 35-37 is T_eps 
=            line 305 cols 38-38 is '=' 
1e-05        line 305 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 305 cols 44-44 is ',' 
momentum     line 305 cols 46-53 is T_momentum 
=            line 305 cols 54-54 is '=' 
0.1          line 305 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 305 cols 58-58 is ',' 
affine       line 305 cols 60-65 is T_Identifier 
=            line 305 cols 66-66 is '=' 
True         line 305 cols 67-70 is T_BoolConstant (value = true)
,            line 305 cols 71-71 is ',' 
track_running_stats line 305 cols 73-91 is T_track_running_stats 
=            line 305 cols 92-92 is '=' 
True         line 305 cols 93-96 is T_BoolConstant (value = true)
)            line 305 cols 97-97 is ')' 
(            line 306 cols 9-9 is '(' 
relu1        line 306 cols 10-14 is T_Identifier 
)            line 306 cols 15-15 is ')' 
:            line 306 cols 16-16 is ':' 
ReLU         line 306 cols 18-21 is T_ReLU 
(            line 306 cols 22-22 is '(' 
inplace      line 306 cols 23-29 is T_inplace 
=            line 306 cols 30-30 is '=' 
True         line 306 cols 31-34 is T_BoolConstant (value = true)
)            line 306 cols 35-35 is ')' 
(            line 307 cols 9-9 is '(' 
conv1        line 307 cols 10-14 is T_Identifier 
)            line 307 cols 15-15 is ')' 
:            line 307 cols 16-16 is ':' 
Conv2d       line 307 cols 18-23 is T_Conv2d 
(            line 307 cols 24-24 is '(' 
800          line 307 cols 25-27 is T_IntConstant (value = 800)
,            line 307 cols 28-28 is ',' 
128          line 307 cols 30-32 is T_IntConstant (value = 128)
,            line 307 cols 33-33 is ',' 
kernel_size  line 307 cols 35-45 is T_kernel_size 
=            line 307 cols 46-46 is '=' 
(            line 307 cols 47-47 is '(' 
1            line 307 cols 48-48 is T_IntConstant (value = 1)
,            line 307 cols 49-49 is ',' 
1            line 307 cols 51-51 is T_IntConstant (value = 1)
)            line 307 cols 52-52 is ')' 
,            line 307 cols 53-53 is ',' 
stride       line 307 cols 55-60 is T_stride 
=            line 307 cols 61-61 is '=' 
(            line 307 cols 62-62 is '(' 
1            line 307 cols 63-63 is T_IntConstant (value = 1)
,            line 307 cols 64-64 is ',' 
1            line 307 cols 66-66 is T_IntConstant (value = 1)
)            line 307 cols 67-67 is ')' 
,            line 307 cols 68-68 is ',' 
bias         line 307 cols 70-73 is T_bias 
=            line 307 cols 74-74 is '=' 
False        line 307 cols 75-79 is T_BoolConstant (value = false)
)            line 307 cols 80-80 is ')' 
(            line 308 cols 9-9 is '(' 
norm2        line 308 cols 10-14 is T_Identifier 
)            line 308 cols 15-15 is ')' 
:            line 308 cols 16-16 is ':' 
BatchNorm2d  line 308 cols 18-28 is T_BatchNorm2d 
(            line 308 cols 29-29 is '(' 
128          line 308 cols 30-32 is T_IntConstant (value = 128)
,            line 308 cols 33-33 is ',' 
eps          line 308 cols 35-37 is T_eps 
=            line 308 cols 38-38 is '=' 
1e-05        line 308 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 308 cols 44-44 is ',' 
momentum     line 308 cols 46-53 is T_momentum 
=            line 308 cols 54-54 is '=' 
0.1          line 308 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 308 cols 58-58 is ',' 
affine       line 308 cols 60-65 is T_Identifier 
=            line 308 cols 66-66 is '=' 
True         line 308 cols 67-70 is T_BoolConstant (value = true)
,            line 308 cols 71-71 is ',' 
track_running_stats line 308 cols 73-91 is T_track_running_stats 
=            line 308 cols 92-92 is '=' 
True         line 308 cols 93-96 is T_BoolConstant (value = true)
)            line 308 cols 97-97 is ')' 
(            line 309 cols 9-9 is '(' 
relu2        line 309 cols 10-14 is T_Identifier 
)            line 309 cols 15-15 is ')' 
:            line 309 cols 16-16 is ':' 
ReLU         line 309 cols 18-21 is T_ReLU 
(            line 309 cols 22-22 is '(' 
inplace      line 309 cols 23-29 is T_inplace 
=            line 309 cols 30-30 is '=' 
True         line 309 cols 31-34 is T_BoolConstant (value = true)
)            line 309 cols 35-35 is ')' 
(            line 310 cols 9-9 is '(' 
conv2        line 310 cols 10-14 is T_Identifier 
)            line 310 cols 15-15 is ')' 
:            line 310 cols 16-16 is ':' 
Conv2d       line 310 cols 18-23 is T_Conv2d 
(            line 310 cols 24-24 is '(' 
128          line 310 cols 25-27 is T_IntConstant (value = 128)
,            line 310 cols 28-28 is ',' 
32           line 310 cols 30-31 is T_IntConstant (value = 32)
,            line 310 cols 32-32 is ',' 
kernel_size  line 310 cols 34-44 is T_kernel_size 
=            line 310 cols 45-45 is '=' 
(            line 310 cols 46-46 is '(' 
3            line 310 cols 47-47 is T_IntConstant (value = 3)
,            line 310 cols 48-48 is ',' 
3            line 310 cols 50-50 is T_IntConstant (value = 3)
)            line 310 cols 51-51 is ')' 
,            line 310 cols 52-52 is ',' 
stride       line 310 cols 54-59 is T_stride 
=            line 310 cols 60-60 is '=' 
(            line 310 cols 61-61 is '(' 
1            line 310 cols 62-62 is T_IntConstant (value = 1)
,            line 310 cols 63-63 is ',' 
1            line 310 cols 65-65 is T_IntConstant (value = 1)
)            line 310 cols 66-66 is ')' 
,            line 310 cols 67-67 is ',' 
padding      line 310 cols 69-75 is T_padding 
=            line 310 cols 76-76 is '=' 
(            line 310 cols 77-77 is '(' 
1            line 310 cols 78-78 is T_IntConstant (value = 1)
,            line 310 cols 79-79 is ',' 
1            line 310 cols 81-81 is T_IntConstant (value = 1)
)            line 310 cols 82-82 is ')' 
,            line 310 cols 83-83 is ',' 
bias         line 310 cols 85-88 is T_bias 
=            line 310 cols 89-89 is '=' 
False        line 310 cols 90-94 is T_BoolConstant (value = false)
)            line 310 cols 95-95 is ')' 
)            line 311 cols 7-7 is ')' 
(            line 312 cols 7-7 is '(' 
denselayer19 line 312 cols 8-19 is T_Identifier 
)            line 312 cols 20-20 is ')' 
:            line 312 cols 21-21 is ':' 
_DenseLayer  line 312 cols 23-33 is T_Identifier 
(            line 312 cols 34-34 is '(' 
(            line 313 cols 9-9 is '(' 
norm1        line 313 cols 10-14 is T_Identifier 
)            line 313 cols 15-15 is ')' 
:            line 313 cols 16-16 is ':' 
BatchNorm2d  line 313 cols 18-28 is T_BatchNorm2d 
(            line 313 cols 29-29 is '(' 
832          line 313 cols 30-32 is T_IntConstant (value = 832)
,            line 313 cols 33-33 is ',' 
eps          line 313 cols 35-37 is T_eps 
=            line 313 cols 38-38 is '=' 
1e-05        line 313 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 313 cols 44-44 is ',' 
momentum     line 313 cols 46-53 is T_momentum 
=            line 313 cols 54-54 is '=' 
0.1          line 313 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 313 cols 58-58 is ',' 
affine       line 313 cols 60-65 is T_Identifier 
=            line 313 cols 66-66 is '=' 
True         line 313 cols 67-70 is T_BoolConstant (value = true)
,            line 313 cols 71-71 is ',' 
track_running_stats line 313 cols 73-91 is T_track_running_stats 
=            line 313 cols 92-92 is '=' 
True         line 313 cols 93-96 is T_BoolConstant (value = true)
)            line 313 cols 97-97 is ')' 
(            line 314 cols 9-9 is '(' 
relu1        line 314 cols 10-14 is T_Identifier 
)            line 314 cols 15-15 is ')' 
:            line 314 cols 16-16 is ':' 
ReLU         line 314 cols 18-21 is T_ReLU 
(            line 314 cols 22-22 is '(' 
inplace      line 314 cols 23-29 is T_inplace 
=            line 314 cols 30-30 is '=' 
True         line 314 cols 31-34 is T_BoolConstant (value = true)
)            line 314 cols 35-35 is ')' 
(            line 315 cols 9-9 is '(' 
conv1        line 315 cols 10-14 is T_Identifier 
)            line 315 cols 15-15 is ')' 
:            line 315 cols 16-16 is ':' 
Conv2d       line 315 cols 18-23 is T_Conv2d 
(            line 315 cols 24-24 is '(' 
832          line 315 cols 25-27 is T_IntConstant (value = 832)
,            line 315 cols 28-28 is ',' 
128          line 315 cols 30-32 is T_IntConstant (value = 128)
,            line 315 cols 33-33 is ',' 
kernel_size  line 315 cols 35-45 is T_kernel_size 
=            line 315 cols 46-46 is '=' 
(            line 315 cols 47-47 is '(' 
1            line 315 cols 48-48 is T_IntConstant (value = 1)
,            line 315 cols 49-49 is ',' 
1            line 315 cols 51-51 is T_IntConstant (value = 1)
)            line 315 cols 52-52 is ')' 
,            line 315 cols 53-53 is ',' 
stride       line 315 cols 55-60 is T_stride 
=            line 315 cols 61-61 is '=' 
(            line 315 cols 62-62 is '(' 
1            line 315 cols 63-63 is T_IntConstant (value = 1)
,            line 315 cols 64-64 is ',' 
1            line 315 cols 66-66 is T_IntConstant (value = 1)
)            line 315 cols 67-67 is ')' 
,            line 315 cols 68-68 is ',' 
bias         line 315 cols 70-73 is T_bias 
=            line 315 cols 74-74 is '=' 
False        line 315 cols 75-79 is T_BoolConstant (value = false)
)            line 315 cols 80-80 is ')' 
(            line 316 cols 9-9 is '(' 
norm2        line 316 cols 10-14 is T_Identifier 
)            line 316 cols 15-15 is ')' 
:            line 316 cols 16-16 is ':' 
BatchNorm2d  line 316 cols 18-28 is T_BatchNorm2d 
(            line 316 cols 29-29 is '(' 
128          line 316 cols 30-32 is T_IntConstant (value = 128)
,            line 316 cols 33-33 is ',' 
eps          line 316 cols 35-37 is T_eps 
=            line 316 cols 38-38 is '=' 
1e-05        line 316 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 316 cols 44-44 is ',' 
momentum     line 316 cols 46-53 is T_momentum 
=            line 316 cols 54-54 is '=' 
0.1          line 316 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 316 cols 58-58 is ',' 
affine       line 316 cols 60-65 is T_Identifier 
=            line 316 cols 66-66 is '=' 
True         line 316 cols 67-70 is T_BoolConstant (value = true)
,            line 316 cols 71-71 is ',' 
track_running_stats line 316 cols 73-91 is T_track_running_stats 
=            line 316 cols 92-92 is '=' 
True         line 316 cols 93-96 is T_BoolConstant (value = true)
)            line 316 cols 97-97 is ')' 
(            line 317 cols 9-9 is '(' 
relu2        line 317 cols 10-14 is T_Identifier 
)            line 317 cols 15-15 is ')' 
:            line 317 cols 16-16 is ':' 
ReLU         line 317 cols 18-21 is T_ReLU 
(            line 317 cols 22-22 is '(' 
inplace      line 317 cols 23-29 is T_inplace 
=            line 317 cols 30-30 is '=' 
True         line 317 cols 31-34 is T_BoolConstant (value = true)
)            line 317 cols 35-35 is ')' 
(            line 318 cols 9-9 is '(' 
conv2        line 318 cols 10-14 is T_Identifier 
)            line 318 cols 15-15 is ')' 
:            line 318 cols 16-16 is ':' 
Conv2d       line 318 cols 18-23 is T_Conv2d 
(            line 318 cols 24-24 is '(' 
128          line 318 cols 25-27 is T_IntConstant (value = 128)
,            line 318 cols 28-28 is ',' 
32           line 318 cols 30-31 is T_IntConstant (value = 32)
,            line 318 cols 32-32 is ',' 
kernel_size  line 318 cols 34-44 is T_kernel_size 
=            line 318 cols 45-45 is '=' 
(            line 318 cols 46-46 is '(' 
3            line 318 cols 47-47 is T_IntConstant (value = 3)
,            line 318 cols 48-48 is ',' 
3            line 318 cols 50-50 is T_IntConstant (value = 3)
)            line 318 cols 51-51 is ')' 
,            line 318 cols 52-52 is ',' 
stride       line 318 cols 54-59 is T_stride 
=            line 318 cols 60-60 is '=' 
(            line 318 cols 61-61 is '(' 
1            line 318 cols 62-62 is T_IntConstant (value = 1)
,            line 318 cols 63-63 is ',' 
1            line 318 cols 65-65 is T_IntConstant (value = 1)
)            line 318 cols 66-66 is ')' 
,            line 318 cols 67-67 is ',' 
padding      line 318 cols 69-75 is T_padding 
=            line 318 cols 76-76 is '=' 
(            line 318 cols 77-77 is '(' 
1            line 318 cols 78-78 is T_IntConstant (value = 1)
,            line 318 cols 79-79 is ',' 
1            line 318 cols 81-81 is T_IntConstant (value = 1)
)            line 318 cols 82-82 is ')' 
,            line 318 cols 83-83 is ',' 
bias         line 318 cols 85-88 is T_bias 
=            line 318 cols 89-89 is '=' 
False        line 318 cols 90-94 is T_BoolConstant (value = false)
)            line 318 cols 95-95 is ')' 
)            line 319 cols 7-7 is ')' 
(            line 320 cols 7-7 is '(' 
denselayer20 line 320 cols 8-19 is T_Identifier 
)            line 320 cols 20-20 is ')' 
:            line 320 cols 21-21 is ':' 
_DenseLayer  line 320 cols 23-33 is T_Identifier 
(            line 320 cols 34-34 is '(' 
(            line 321 cols 9-9 is '(' 
norm1        line 321 cols 10-14 is T_Identifier 
)            line 321 cols 15-15 is ')' 
:            line 321 cols 16-16 is ':' 
BatchNorm2d  line 321 cols 18-28 is T_BatchNorm2d 
(            line 321 cols 29-29 is '(' 
864          line 321 cols 30-32 is T_IntConstant (value = 864)
,            line 321 cols 33-33 is ',' 
eps          line 321 cols 35-37 is T_eps 
=            line 321 cols 38-38 is '=' 
1e-05        line 321 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 321 cols 44-44 is ',' 
momentum     line 321 cols 46-53 is T_momentum 
=            line 321 cols 54-54 is '=' 
0.1          line 321 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 321 cols 58-58 is ',' 
affine       line 321 cols 60-65 is T_Identifier 
=            line 321 cols 66-66 is '=' 
True         line 321 cols 67-70 is T_BoolConstant (value = true)
,            line 321 cols 71-71 is ',' 
track_running_stats line 321 cols 73-91 is T_track_running_stats 
=            line 321 cols 92-92 is '=' 
True         line 321 cols 93-96 is T_BoolConstant (value = true)
)            line 321 cols 97-97 is ')' 
(            line 322 cols 9-9 is '(' 
relu1        line 322 cols 10-14 is T_Identifier 
)            line 322 cols 15-15 is ')' 
:            line 322 cols 16-16 is ':' 
ReLU         line 322 cols 18-21 is T_ReLU 
(            line 322 cols 22-22 is '(' 
inplace      line 322 cols 23-29 is T_inplace 
=            line 322 cols 30-30 is '=' 
True         line 322 cols 31-34 is T_BoolConstant (value = true)
)            line 322 cols 35-35 is ')' 
(            line 323 cols 9-9 is '(' 
conv1        line 323 cols 10-14 is T_Identifier 
)            line 323 cols 15-15 is ')' 
:            line 323 cols 16-16 is ':' 
Conv2d       line 323 cols 18-23 is T_Conv2d 
(            line 323 cols 24-24 is '(' 
864          line 323 cols 25-27 is T_IntConstant (value = 864)
,            line 323 cols 28-28 is ',' 
128          line 323 cols 30-32 is T_IntConstant (value = 128)
,            line 323 cols 33-33 is ',' 
kernel_size  line 323 cols 35-45 is T_kernel_size 
=            line 323 cols 46-46 is '=' 
(            line 323 cols 47-47 is '(' 
1            line 323 cols 48-48 is T_IntConstant (value = 1)
,            line 323 cols 49-49 is ',' 
1            line 323 cols 51-51 is T_IntConstant (value = 1)
)            line 323 cols 52-52 is ')' 
,            line 323 cols 53-53 is ',' 
stride       line 323 cols 55-60 is T_stride 
=            line 323 cols 61-61 is '=' 
(            line 323 cols 62-62 is '(' 
1            line 323 cols 63-63 is T_IntConstant (value = 1)
,            line 323 cols 64-64 is ',' 
1            line 323 cols 66-66 is T_IntConstant (value = 1)
)            line 323 cols 67-67 is ')' 
,            line 323 cols 68-68 is ',' 
bias         line 323 cols 70-73 is T_bias 
=            line 323 cols 74-74 is '=' 
False        line 323 cols 75-79 is T_BoolConstant (value = false)
)            line 323 cols 80-80 is ')' 
(            line 324 cols 9-9 is '(' 
norm2        line 324 cols 10-14 is T_Identifier 
)            line 324 cols 15-15 is ')' 
:            line 324 cols 16-16 is ':' 
BatchNorm2d  line 324 cols 18-28 is T_BatchNorm2d 
(            line 324 cols 29-29 is '(' 
128          line 324 cols 30-32 is T_IntConstant (value = 128)
,            line 324 cols 33-33 is ',' 
eps          line 324 cols 35-37 is T_eps 
=            line 324 cols 38-38 is '=' 
1e-05        line 324 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 324 cols 44-44 is ',' 
momentum     line 324 cols 46-53 is T_momentum 
=            line 324 cols 54-54 is '=' 
0.1          line 324 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 324 cols 58-58 is ',' 
affine       line 324 cols 60-65 is T_Identifier 
=            line 324 cols 66-66 is '=' 
True         line 324 cols 67-70 is T_BoolConstant (value = true)
,            line 324 cols 71-71 is ',' 
track_running_stats line 324 cols 73-91 is T_track_running_stats 
=            line 324 cols 92-92 is '=' 
True         line 324 cols 93-96 is T_BoolConstant (value = true)
)            line 324 cols 97-97 is ')' 
(            line 325 cols 9-9 is '(' 
relu2        line 325 cols 10-14 is T_Identifier 
)            line 325 cols 15-15 is ')' 
:            line 325 cols 16-16 is ':' 
ReLU         line 325 cols 18-21 is T_ReLU 
(            line 325 cols 22-22 is '(' 
inplace      line 325 cols 23-29 is T_inplace 
=            line 325 cols 30-30 is '=' 
True         line 325 cols 31-34 is T_BoolConstant (value = true)
)            line 325 cols 35-35 is ')' 
(            line 326 cols 9-9 is '(' 
conv2        line 326 cols 10-14 is T_Identifier 
)            line 326 cols 15-15 is ')' 
:            line 326 cols 16-16 is ':' 
Conv2d       line 326 cols 18-23 is T_Conv2d 
(            line 326 cols 24-24 is '(' 
128          line 326 cols 25-27 is T_IntConstant (value = 128)
,            line 326 cols 28-28 is ',' 
32           line 326 cols 30-31 is T_IntConstant (value = 32)
,            line 326 cols 32-32 is ',' 
kernel_size  line 326 cols 34-44 is T_kernel_size 
=            line 326 cols 45-45 is '=' 
(            line 326 cols 46-46 is '(' 
3            line 326 cols 47-47 is T_IntConstant (value = 3)
,            line 326 cols 48-48 is ',' 
3            line 326 cols 50-50 is T_IntConstant (value = 3)
)            line 326 cols 51-51 is ')' 
,            line 326 cols 52-52 is ',' 
stride       line 326 cols 54-59 is T_stride 
=            line 326 cols 60-60 is '=' 
(            line 326 cols 61-61 is '(' 
1            line 326 cols 62-62 is T_IntConstant (value = 1)
,            line 326 cols 63-63 is ',' 
1            line 326 cols 65-65 is T_IntConstant (value = 1)
)            line 326 cols 66-66 is ')' 
,            line 326 cols 67-67 is ',' 
padding      line 326 cols 69-75 is T_padding 
=            line 326 cols 76-76 is '=' 
(            line 326 cols 77-77 is '(' 
1            line 326 cols 78-78 is T_IntConstant (value = 1)
,            line 326 cols 79-79 is ',' 
1            line 326 cols 81-81 is T_IntConstant (value = 1)
)            line 326 cols 82-82 is ')' 
,            line 326 cols 83-83 is ',' 
bias         line 326 cols 85-88 is T_bias 
=            line 326 cols 89-89 is '=' 
False        line 326 cols 90-94 is T_BoolConstant (value = false)
)            line 326 cols 95-95 is ')' 
)            line 327 cols 7-7 is ')' 
(            line 328 cols 7-7 is '(' 
denselayer21 line 328 cols 8-19 is T_Identifier 
)            line 328 cols 20-20 is ')' 
:            line 328 cols 21-21 is ':' 
_DenseLayer  line 328 cols 23-33 is T_Identifier 
(            line 328 cols 34-34 is '(' 
(            line 329 cols 9-9 is '(' 
norm1        line 329 cols 10-14 is T_Identifier 
)            line 329 cols 15-15 is ')' 
:            line 329 cols 16-16 is ':' 
BatchNorm2d  line 329 cols 18-28 is T_BatchNorm2d 
(            line 329 cols 29-29 is '(' 
896          line 329 cols 30-32 is T_IntConstant (value = 896)
,            line 329 cols 33-33 is ',' 
eps          line 329 cols 35-37 is T_eps 
=            line 329 cols 38-38 is '=' 
1e-05        line 329 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 329 cols 44-44 is ',' 
momentum     line 329 cols 46-53 is T_momentum 
=            line 329 cols 54-54 is '=' 
0.1          line 329 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 329 cols 58-58 is ',' 
affine       line 329 cols 60-65 is T_Identifier 
=            line 329 cols 66-66 is '=' 
True         line 329 cols 67-70 is T_BoolConstant (value = true)
,            line 329 cols 71-71 is ',' 
